"Competencia";"is_total";"Tipo_Movimentacao";"cnae_subclasse";"Quantidade"
"Fev/2018";FALSE;"Desligamento a pedido";"2452";65
"Fev/2018";FALSE;"Desligamento por morte";"2451";3
"Fev/2018";FALSE;"Desligamento por morte";"2452";1
"Fev/2018";FALSE;"Desligamento por acordo empregado e empregador";"2451";11
"Fev/2018";FALSE;"Desligamento por acordo empregado e empregador";"2452";5
"Jan/2018";FALSE;"Admissão por primeiro emprego";"2451";199
"Jan/2018";FALSE;"Admissão por primeiro emprego";"2452";31
"Jan/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";916
"Jan/2018";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";331
"Jan/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";378
"Jan/2018";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";145
"Jan/2018";FALSE;"Desligamento por demissão com justa causa";"2451";21
"Jan/2018";FALSE;"Desligamento por demissão com justa causa";"2452";3
"Jan/2018";FALSE;"Desligamento a pedido";"2451";208
"Jan/2018";FALSE;"Desligamento a pedido";"2452";55
"Jan/2018";FALSE;"Desligamento por morte";"2451";5
"Jan/2018";FALSE;"Desligamento por morte";"2452";3
"Jan/2018";FALSE;"Desligamento por acordo empregado e empregador";"2451";8
"Jan/2018";FALSE;"Desligamento por acordo empregado e empregador";"2452";2
"Dez/2017";FALSE;"Admissão por primeiro emprego";"2451";78
"Dez/2017";FALSE;"Admissão por primeiro emprego";"2452";9
"Dez/2017";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";285
"Dez/2017";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";174
"Dez/2017";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2451";745
"Dez/2017";FALSE;"Desligamento por demissão sem justa causa, térm de contrato prz det, térm contrato";"2452";222
"Dez/2017";FALSE;"Desligamento por demissão com justa causa";"2451";17
"Dez/2017";FALSE;"Desligamento por demissão com justa causa";"2452";2
"Dez/2017";FALSE;"Desligamento a pedido";"2451";138
"Dez/2017";FALSE;"Desligamento a pedido";"2452";36
"Dez/2017";FALSE;"Desligamento por morte";"2451";7
"Dez/2017";FALSE;"Desligamento por morte";"2452";2
"Dez/2017";FALSE;"Desligamento por acordo empregado e empregador";"2451";2
"Dez/2017";FALSE;"Desligamento por acordo empregado e empregador";"2452";3
"Nov/2017";FALSE;"Admissão por primeiro emprego";"2451";124
"Nov/2017";FALSE;"Admissão por primeiro emprego";"2452";24
"Nov/2017";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2451";474
"Nov/2017";FALSE;"Admissão por reemprego, reint, e Contr de trabalho por prazo det";"2452";218
